Glottocode	Sources	Latitude	Longitude	Family	Macroarea
tipp1239	6	23.5864	92.0747	Sino-Tibetan [sino1245]	Eurasia
turk1308	28	4.30688	35.7101	Nilotic [nilo1247]	Africa
kach1280	35	25.4634	97.3278	Sino-Tibetan [sino1245]	Eurasia
ikaa1238	7	6.36423	6.31058	Atlantic-Congo [atla1278]	Africa
tswa1237	4	-23.40552	27.42009	Atlantic-Congo [atla1278]	Africa
lawa1257	15	-1.80261	115.876	Austronesian [aust1307]	Papunesia
cong1236	26	-7.2692	27.4196	Atlantic-Congo [atla1278]	Africa
chim1310	7	47.91457	-123.139145	Chimakuan [chim1311]	North America
amor1239	9	34.71	40.72	Afro-Asiatic [afro1255]	Eurasia
powh1243	7	36.99422	-77.20752	Algic [algi1248]	North America
amba1263	16	0.81206	30.0014	Atlantic-Congo [atla1278]	Africa
kagu1239	13	-6.38204	37.0534	Atlantic-Congo [atla1278]	Africa
umed1238	5	-3.34565	141.157	Border [bord1247]	Papunesia
sowa1245	9	-3.28373	140.92	Border [bord1247]	Papunesia
mane1266	10	-2.99145	141.02	Border [bord1247]	Papunesia
west2408	11	20.2384	80.7006	Dravidian [drav1251]	Eurasia
ukpe1249	7	5.58316	8.10047	Atlantic-Congo [atla1278]	Africa
koro1304	10	5.16206	8.80859	Atlantic-Congo [atla1278]	Africa
shoo1247	3	8.92577	10.9642	Atlantic-Congo [atla1278]	Africa
esta1236	5	19.8781	-99.61	Otomanguean [otom1299]	North America
temo1245	9	19.6001	-99.6541	Otomanguean [otom1299]	North America
dusu1267	5	-1.57408	114.979	Austronesian [aust1307]	Papunesia
thra1250	11	42.115469	24.711977	Indo-European [indo1319]	Eurasia
bilb1241	13	-5.26505	145.764	Austronesian [aust1307]	Papunesia
mato1253	9	-9.172609	-60.628867		South America
kuyu1236	1	-11.75	-64.0	Chapacuran [chap1271]	South America
wany1246	7	-12.1	-63.1	Chapacuran [chap1271]	South America
ruun1238	14	-8.86971	21.4164	Atlantic-Congo [atla1278]	Africa
pagu1249	14	1.2134	127.78	North Halmahera [nort2923]	Papunesia
lebu1234	8	14.7456291324	-17.490288	Atlantic-Congo [atla1278]	Africa
achu1247	20	41.0979	-121.191	Palaihnihan [pala1350]	North America
atsu1245	12	40.4271	-120.661	Palaihnihan [pala1350]	North America
tequ1245	2	16.4	-95.59	Tequistlatecan [tequ1244]	North America
sout3005	4	17.2588	-96.6199	Otomanguean [otom1299]	North America
nort2741	19	16.03	103.67	Tai-Kadai [taik1256]	Eurasia
nucl1240	11	8.90347	11.71545	Atlantic-Congo [atla1278]	Africa
yend1241	4	9.0	11.8	Atlantic-Congo [atla1278]	Africa
kala1256	11	-1.43074	131.617	West Bird's Head [west1493]	Papunesia
lamb1269	22	16.5734	76.9717	Indo-European [indo1319]	Eurasia
huba1236	10	10.3544	13.139	Afro-Asiatic [afro1255]	Africa
mank1256	5	34.2922	73.2505	Indo-European [indo1319]	Eurasia
enya1249	6	-4.1	26.0	Atlantic-Congo [atla1278]	Africa
kabw1242	5	-4.36966	29.1684	Atlantic-Congo [atla1278]	Africa
