Glottocode	Sources	Latitude	Longitude	Family	Macroarea
mboc1235	5	5.13981	9.92766	Atlantic-Congo [atla1278]	africa
romb1244	2	-3.07772	37.5382	Atlantic-Congo [atla1278]	africa
mach1266	11	-3.29385	37.0703	Atlantic-Congo [atla1278]	africa
moch1256	7	-3.33743	37.3357	Atlantic-Congo [atla1278]	africa
meru1245	13	0.26484	37.7396	Atlantic-Congo [atla1278]	africa
rwaa1238	3	-3.42862	36.7686	Atlantic-Congo [atla1278]	africa
vunj1238	7	-3.42531	37.5847	Atlantic-Congo [atla1278]	africa
tait1250	13	-3.79347	38.57254	Atlantic-Congo [atla1278]	africa
many1258	8	-18.1927	32.8052	Atlantic-Congo [atla1278]	africa
chop1243	9	-24.8327	34.1097	Atlantic-Congo [atla1278]	africa
nupe1254	33	9.18404	5.40031	Atlantic-Congo [atla1278]	africa
afar1241	51	12.2281	41.8083	Afro-Asiatic [afro1255]	africa
adiv1239	5	18.1046	82.8487	Indo-European [indo1319]	eurasia
nkhu1238	3	-15.4126	13.9704	Atlantic-Congo [atla1278]	africa
nyan1305	4	-15.9616	14.94	Atlantic-Congo [atla1278]	africa
beng1282	10	1.075766	9.600739	Atlantic-Congo [atla1278]	africa
mina1268	10	-0.896	100.44	Austronesian [aust1307]	pacific
dorz1235	3	6.25237	37.5554	Ta-Ne-Omotic [gong1255]	africa
turk1304	11	37.08719	59.17574	Turkic [turk1311]	eurasia
efee1239	14	1.8798	29.2918	Central Sudanic [cent2225]	africa
mamv1243	15	2.68167	28.9862	Central Sudanic [cent2225]	africa
lush1249	21	22.6138	92.6247	Sino-Tibetan [sino1245]	eurasia
luva1239	29	-13.5382	22.2924	Atlantic-Congo [atla1278]	africa
clas1250	12	19.72	-96.97	Uto-Aztecan [utoa1244]	northamerica
sout2778	15	8.32448	-10.3377	Atlantic-Congo [atla1278]	africa
loma1260	2	7.91585	-9.69906	Mande [mand1469]	africa
toma1245	10	8.20383	-9.23439	Mande [mand1469]	africa
gogo1265	1	-8.08527	142.874	Suki-Gogodala [suki1244]	pacific
xara1243	0	-21.8223	166.376	Austronesian [aust1307]	pacific
gito1238	6	-23.7964	35.1577	Atlantic-Congo [atla1278]	africa
gull1241	13	33.6632	-79.6036	Indo-European [indo1319]	northamerica
zigu1244	5	-5.61864	38.41138	Atlantic-Congo [atla1278]	africa
