ID	Creators	Creator_Variants	Title	Title_Variants	Year	Sources
Choi-1998-optimizing_structure_in_context	Choi, Hye-Won		Optimizing structure in context: The case of German scrambling		1998	choi_optimizing-scrambling1998
Clahsen-1992-the_acquisition_of_agreement	Clahsen, Harald and Penke, Martina and Meisel, Jurgen M.		The acquisition of agreement morphology and its syntactic consequences: New evidence on German child language from the Simone-Corpus		1992	clahsen-meisel-penke_consequences-simone1992
Clahsen-2003-derivational_morphology_in_the	Clahsen, Harald and Sonnenstuhl, Ingrid and Blevins, James P.		Derivational morphology in the German mental lexicon: A dual mechanism account		2003	blevins-clahsen-sonnenstuhl_dual-mechanism2003
Clardy-1954-a_description_and_analysis	Clardy, Catherine Jane		A Description and Analysis of the German Language Spoken in New Braunfels, TX		1954	clardy_braunfels-tx1954
Classen-1979-on_the_trichotomic_time	Classen, Peter		On the trichotomic time structure of the tenses in German and English		1979	classen_trichotomic-tenses1979
Clifton-2001-review_of_the_phonology	Clifton, John M.		Review of: The phonology of German, by Richard Wiese		2001	clifton_richard-wiese2001
Clyne-1978-2_some_germanenglish_language	Clyne, Michael G.		2. Some (German-English) Language Contact Phenomena at the Discourse Level		1978	clyne_phenomena-level1978
Cochran-1974-cochrans_german_review_grammar	Cochran, Emory Ellsworth and Conant, Jonathan B.		Cochran's German review grammar		1974	cochran-conant_cochrans-review1974
Collings-1990-2_the_acquisition_of	Collings, Andreas		2. The acquisition of morphology and syntax in German child language		1990	collings_acquisition-child1990
Colonna-2012-information_structure_effects_on	Colonna, Saveria and Schimke, Sarah and Hemforth, Barbara		Information structure effects on anaphora resolution in German and French: A cross-linguistic study of pronoun resolution	Information structure effects on anaphora resolution in German and French: A cross-linguistic study of pronoun resolution // Information structure effects on anaphora resolution in German and French: A crosslinguistic study of pronoun resolution	2012	colonna-hemforth-schimke_anaphora-resolution2012 colonna-hemforth-schimke_resolution-crosslinguistic2012
Coniglio-2019-relative_clause_marking_in	Coniglio, Marco		Relative clause marking in historical German		2019	coniglio_relative-clause2019
Connolly-1987-case_grammar_and_word	Connolly, Leo A.		Case Grammar and Word Order in German		1987	connolly_order-german1987
Cramer-2009-construction_of_a_german	Cramer, Bart and Zhang, Yi		Construction of a German HPSG Grammar from a Detailed Treebank		2009	cramer-zhang_detailed-treebank2009
Crysmann-2003-on_the_treatment_of	Crysmann, Berthold		On the Treatment of Word Order in a Computational Grammar of German		2003	crysmann_treatment-computational2003
Crysmann-2005-relative_clause_extraposition_in	Crysmann, Berthold		Relative Clause Extraposition in German: An Efficient and Portable Implementation		2005	crysmann_efficient-portable2005
Curme-1905-a_grammar_of_the	Curme, George Oliver		A grammar of the German language: Designed for a thorough and practical study of the language as spoken and written to-day		1905	curme_designed-thorough1905
Curme-1922-a_grammar_of_the	Curme, George O.		A grammar of the German language, designed for a thoro and practical study of the language as spoken and written to-day	A grammar of the German language // A grammar of the German language, designed for a thoro and practical study of the language as spoken and written to-day	1922	curme_designed-thoro1922 curme_grammar-german1922
Curme-1952-a_grammar_of_the	Curme, George O.		A grammar of the German language		1952	curme_grammar-german1952
Curme-1964-a_grammar_of_the	Curme, George		A grammar of the German language		1964	curme_grammar-german1964
Dalby-1965-lexicon_of_the_mediaeval	Dalby, David		Lexicon of the Mediaeval German Hunt. A Lexicon of Middle High German Terms (1050-1500), associated with the Chase, Hunting with Bows, Falconry, Trapping and Fowling		1965	dalby_falconry-fowling1965
De_Kuthy-2002-discontinuous_nps_in_german	De Kuthy, Kordula		Discontinuous NPs in German: A Case Study of the Interaction of Syntax, Semantics and Pragmatics		2002	kuthy_discontinuous-nps2002
Delisle-1993-anaphora_in_german_discourse	Delisle, Helga H.		Anaphora in GErman discourse		1993	delisle_anaphora-german1993
Demske-2018-syntax_and_discourse_structure	Demske, Ulrike		Syntax and Discourse Structure: Verb-final Main Clauses in German		2018	demske_final-main2018
Diedrichsen-2014-a_role_and_reference	Diedrichsen, Elke		A Role and Reference Grammar parser for German		2014	diedrichsen_role-parser2014
Dinnsen-1971-the_three_degrees_of	Dinnsen, Daniel and Garcia Zamor, Maria		The three degrees of vowel length in German		1971	dinnsen-zamor_degrees-length1971
Dipper-2008-computing_distance_and_relatedness	Dipper, Stefanie and Schrader, Bettina		Computing distance and relatedness of medieval text variants from German		2008	dipper-schrader_computing-relatedness2008
Dodd-2003-modern_german_grammar	Dodd, Bill and Eckhard-Black, Christine and Klapper, John and Whittle, Ruth		Modern German Grammar		2003	dodd-eckhard-black-klapper-whittle_modern-german2003
Dodd-2003-modern_german_grammar_a	Bill Dodd and Christine Eckhard-Black and John Klapper and Ruth Whittle		Modern German Grammar: A practical guide		2003	dodd-eckhard-black-klapper-whittle_practical-guide2003
Doherty-2001-discourse_relators_and_the	Doherty, Monika		Discourse relators and the beginnings of sentences in English and German		2001	doherty_relators-beginnings2001
Doherty-2001-discourse_theory_and_the	Doherty, Monika		Discourse theory and the translation of clefts between English and German		2001	doherty_translation-clefts2001
Dombrowski-2005-acoustic_patterns_and_communicative	Dombrowski, Ernst and Niebuhr, Oliver		Acoustic patterns and communicative functions of phrase-final F0 rises in German: Activating and restricting contours		2005	dombrowski-niebuhr_rises-activating2005
Donaldson-2006-german_an_essential_grammar	Bruce C. Donaldson		German: An essential grammar		2006	donaldson_german-essential2006
Donaldson-2007-german_an_essential_grammar	Donaldson, Bruce		German: An Essential Grammar		2007	donaldson_german-essential2007
Donhauser-2007-the_mouton_interactive_introduction	Donhauser, Karin and Fischer, Anette and Mecklenburg, Lars		The Mouton interactive introduction to historical linguistics of German: in deutsch und englisch		2007	donhauser-fischer-mecklenburg_mouton-englisch2007
Dressler-1998-bloomer_robert_1994_systemcongruity	Dressler, Wolfgang U.		Bloomer, Robert. 1994. System-Congruity and the Participles of Modern German and Modern English: A Study in Natural Morphology		1998	dressler_bloomer-congruity1998
Durrell-1996-hammers_german_grammar_and	Durrell, Martin		Hammer's German Grammar and Usage		1996	durrell_hammers-usage1996
Durrell-2002-hammers_german_grammar_and	Martin Durrell		Hammer's German Grammar and Usage		2002	durrell_hammers-usage2002
Durrell-2021-hammers_german_grammar_and	Durrell, Martin and Hammer, A. E		Hammer’s German Grammar and Usage		2021	durrell-hammer_hammers-usage2021
Dürscheid-2002-klaus_welke_deutsche_syntax	Dürscheid, Christa		Klaus Welke: Deutsche Syntax funktional. Perspektiviertheit syntaktischer Strukturen		2002	durscheid_welke-perspektiviertheit2002
